code	product_name	ingredients_text	categories	brands	countries	countries_tags
8901491101105	Lays Classic Salted Potato Chips	Potatoes, Edible Vegetable Oil (Palmolein), Iodised Salt	Snacks, Chips	PepsiCo	en:India	en:india
8901491101150	Lays Cream & Onion Potato Chips	Potatoes, Oil, Milk solids, Onion powder, Sugar, Salt, Flavour enhancers (621,627,631)	Snacks, Chips	PepsiCo	en:India	en:india
8901491101303	Lays Magic Masala Potato Chips	Potatoes, Oil, Spices, Sugar, Salt, Flavour enhancers (621,627)	Snacks, Chips	PepsiCo	en:India	en:india
8901491101402	Lays American Style Cream & Onion	Potatoes, Oil, Milk solids, Sugar, Salt, Flavour enhancers	Snacks, Chips	PepsiCo	en:India	en:india
8901491101501	Lays Chile Limon Chips	Potatoes, Oil, Spices, Salt, Acidity regulators	Snacks, Chips	PepsiCo	en:India	en:india
8901725000023	Balaji Classic Salted Chips	Potatoes, Palm oil, Salt	Snacks, Chips	Balaji	en:India	en:india
8901725000061	Balaji Tomato Chips	Potatoes, Oil, Tomato powder, Sugar, Salt, Flavour enhancers	Snacks, Chips	Balaji	en:India	en:india
8901725000108	Balaji Masala Chips	Potatoes, Oil, Spices, Salt	Snacks, Chips	Balaji	en:India	en:india
8901725000153	Balaji Cheese Chips	Potatoes, Oil, Cheese powder, Salt, Flavour enhancers	Snacks, Chips	Balaji	en:India	en:india
8901725000207	Balaji Cream Onion Chips	Potatoes, Oil, Milk solids, Onion powder	Snacks, Chips	Balaji	en:India	en:india
8904004401025	Uncle Chips Classic	Potatoes, Oil, Salt	Snacks, Chips	Uncle Chips	en:India	en:india
8904004401100	Uncle Chips Spicy	Potatoes, Oil, Spices, Salt, Flavour enhancers	Snacks, Chips	Uncle Chips	en:India	en:india
8901491102000	Kurkure Masala Munch	Corn meal, Oil, Spices, Salt, Flavour enhancers (621,627)	Snacks	PepsiCo	en:India	en:india
8901491102109	Kurkure Green Chutney	Corn meal, Oil, Spices, Salt	Snacks	PepsiCo	en:India	en:india
